Trial,Model,Train,Test
0,RMSprop,0.803921568627451,0.6730769230769231
0,Adam,0.803921568627451,0.6730769230769231
0,AdamW,0.803921568627451,0.6346153846153846
0,Adagrad,0.803921568627451,0.6346153846153846
0,Adadelta,0.803921568627451,0.6346153846153846
0,SGD,0.803921568627451,0.6346153846153846
0,Nadam,0.803921568627451,0.6730769230769231
0,Adafactor,0.803921568627451,0.6730769230769231
0,Adamax,0.803921568627451,0.6730769230769231
0,LossScaleOptimizer(Adam),0.803921568627451,0.6730769230769231
1,RMSprop,0.803921568627451,0.6730769230769231
1,Adam,0.803921568627451,0.6730769230769231
1,AdamW,0.803921568627451,0.6153846153846154
1,Adagrad,0.803921568627451,0.7115384615384616
1,Adadelta,0.803921568627451,0.7115384615384616
1,SGD,0.803921568627451,0.7115384615384616
1,Nadam,0.803921568627451,0.5769230769230769
1,Adafactor,0.803921568627451,0.7115384615384616
1,Adamax,0.803921568627451,0.6730769230769231
1,LossScaleOptimizer(Adam),0.803921568627451,0.6538461538461539
2,RMSprop,0.803921568627451,0.6346153846153846
2,Adam,0.803921568627451,0.6153846153846154
2,AdamW,0.803921568627451,0.7115384615384616
2,Adagrad,0.803921568627451,0.7115384615384616
2,Adadelta,0.803921568627451,0.7115384615384616
2,SGD,0.803921568627451,0.6730769230769231
2,Nadam,0.803921568627451,0.6346153846153846
2,Adafactor,0.803921568627451,0.6346153846153846
2,Adamax,0.803921568627451,0.6730769230769231
2,LossScaleOptimizer(Adam),0.803921568627451,0.7115384615384616
3,RMSprop,0.803921568627451,0.6730769230769231
3,Adam,0.803921568627451,0.6730769230769231
3,AdamW,0.803921568627451,0.5769230769230769
3,Adagrad,0.803921568627451,0.6346153846153846
3,Adadelta,0.803921568627451,0.6346153846153846
3,SGD,0.803921568627451,0.6346153846153846
3,Nadam,0.803921568627451,0.6538461538461539
3,Adafactor,0.803921568627451,0.6153846153846154
3,Adamax,0.803921568627451,0.6730769230769231
3,LossScaleOptimizer(Adam),0.803921568627451,0.6346153846153846
4,RMSprop,0.803921568627451,0.6346153846153846
4,Adam,0.803921568627451,0.6153846153846154
4,AdamW,0.803921568627451,0.5961538461538461
4,Adagrad,0.803921568627451,0.6730769230769231
4,Adadelta,0.803921568627451,0.6730769230769231
4,SGD,0.803921568627451,0.6346153846153846
4,Nadam,0.803921568627451,0.6730769230769231
4,Adafactor,0.803921568627451,0.5961538461538461
4,Adamax,0.803921568627451,0.6153846153846154
4,LossScaleOptimizer(Adam),0.803921568627451,0.6346153846153846
5,RMSprop,0.803921568627451,0.6153846153846154
5,Adam,0.803921568627451,0.6346153846153846
5,AdamW,0.803921568627451,0.6346153846153846
5,Adagrad,0.803921568627451,0.6346153846153846
5,Adadelta,0.803921568627451,0.6346153846153846
5,SGD,0.803921568627451,0.6346153846153846
5,Nadam,0.803921568627451,0.6346153846153846
5,Adafactor,0.803921568627451,0.6153846153846154
5,Adamax,0.803921568627451,0.5961538461538461
5,LossScaleOptimizer(Adam),0.803921568627451,0.6538461538461539
6,RMSprop,0.803921568627451,0.6538461538461539
6,Adam,0.803921568627451,0.5769230769230769
6,AdamW,0.803921568627451,0.6730769230769231
6,Adagrad,0.803921568627451,0.6346153846153846
6,Adadelta,0.803921568627451,0.6346153846153846
6,SGD,0.803921568627451,0.6346153846153846
6,Nadam,0.803921568627451,0.6730769230769231
6,Adafactor,0.803921568627451,0.6153846153846154
6,Adamax,0.803921568627451,0.6153846153846154
6,LossScaleOptimizer(Adam),0.803921568627451,0.6346153846153846
7,RMSprop,0.803921568627451,0.6730769230769231
7,Adam,0.803921568627451,0.6346153846153846
7,AdamW,0.803921568627451,0.7115384615384616
7,Adagrad,0.803921568627451,0.6730769230769231
7,Adadelta,0.803921568627451,0.6730769230769231
7,SGD,0.803921568627451,0.6346153846153846
7,Nadam,0.803921568627451,0.6730769230769231
7,Adafactor,0.803921568627451,0.6153846153846154
7,Adamax,0.803921568627451,0.5769230769230769
7,LossScaleOptimizer(Adam),0.803921568627451,0.6730769230769231
8,RMSprop,0.803921568627451,0.6346153846153846
8,Adam,0.803921568627451,0.6730769230769231
8,AdamW,0.803921568627451,0.6153846153846154
8,Adagrad,0.803921568627451,0.6153846153846154
8,Adadelta,0.803921568627451,0.6153846153846154
8,SGD,0.803921568627451,0.6153846153846154
8,Nadam,0.803921568627451,0.5769230769230769
8,Adafactor,0.803921568627451,0.6538461538461539
8,Adamax,0.803921568627451,0.7115384615384616
8,LossScaleOptimizer(Adam),0.803921568627451,0.6730769230769231
9,RMSprop,0.803921568627451,0.6346153846153846
9,Adam,0.803921568627451,0.6730769230769231
9,AdamW,0.803921568627451,0.6730769230769231
9,Adagrad,0.803921568627451,0.6346153846153846
9,Adadelta,0.803921568627451,0.6346153846153846
9,SGD,0.803921568627451,0.6730769230769231
9,Nadam,0.803921568627451,0.5769230769230769
9,Adafactor,0.803921568627451,0.6538461538461539
9,Adamax,0.803921568627451,0.6346153846153846
9,LossScaleOptimizer(Adam),0.803921568627451,0.6538461538461539
